date,place,address,long,lat,evak1,evak2,link
2017-09-24,Гостинница Космос,"пр-т Мира, 150",55.8219714,37.6451146,да,1000,https://ria.ru/incidents/20170924/1505454506.html
2017-09-23,Жилой дом,"Кунцевская ул., д 11",55.730456,37.4183821,да,225,https://ria.ru/incidents/20170923/1505425743.html
2017-09-22,ТЦ Семеновский,"Семеновская пл., 1,",55.782802,37.7184466,да,нет информации,https://ria.ru/incidents/20170922/1505366065.html
2017-09-22,ТЦ Новомосковский,"ул. Хабарова, 2,",55.5936804,37.3495171,да,нет информации,https://ria.ru/incidents/20170922/1505366065.html
2017-09-22,ТЦ Новоясеневский,"Новоясеневский пр-т, 1",55.6131738,37.5126837,да,нет информации,https://ria.ru/incidents/20170922/1505366065.html
2017-09-22,ТЦ Варшавский,"Варшавское шоссе, 87б",55.6537719,37.6185447,да,нет информации,https://ria.ru/incidents/20170922/1505366065.html
2017-09-22,ТЦ Алтуфьевский,"Алтуфьевское ш., 8",55.8525968,37.5835258,да,нет информации,https://ria.ru/incidents/20170922/1505366065.html
2017-09-22,Курский вокзал,пл. Курского вокзала,55.7574119,37.6589137,да,1700,https://ria.ru/incidents/20170922/1505389967.html
2017-09-22,ТЦ Авентура,"Северное Чертаново ул., 1",55.6367377,37.595813,да,4000,https://ria.ru/incidents/20170922/1505372645.html
2017-09-22,Управа р-на  Алтуфьевский,"Алтуфьевское ш., 56А",55.880893,37.5871254,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,"Управа р-на ""Рязанский""","1-я Новокузьминская ул., 10",55.7146294,37.7861458,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,Управа р-на Капотня,"Капотня 2-й кв-л, 7",55.639855,37.7950432,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,"Управа р-на "", ""Северное Чертаново""","Варшавское ш., 116,",55.633936,37.6153264,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,"Управа р-на , ""Гольяново""","Курганская ул., 8,",55.829488,37.8176403,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
2017-09-22,"Управа р-на  ""Покровское-Стрешнево"" ","ул. Свободы, 16",55.831721,37.4517123,да,нет информации ,https://ria.ru/incidents/20170922/1505315701.html
